Name,Played,PassingCompletionPercentage,PassingYardsPerAttempt,PassingRating,RushingYardsPerAttempt
AJ McCarron,3.6666666666666665,38.800000000000004,3.966666666666667,53.5,0.7333333333333334
Aaron Rodgers,13.333333333333334,65.08333333333333,7.6499999999999995,103.20666666666666,5.283333333333333
Alex Smith,15.333333333333334,66.0,7.3500000000000005,96.325,4.966666666666668
Alex Tanney,1.0,71.4,7.1,114.88,0.0
Andrew Luck,14.0,58.96,7.119999999999999,86.27399999999999,5.08
Andy Dalton,15.5,63.16666666666666,7.300000000000001,90.695,2.9166666666666665
Austin Davis,5.333333333333333,41.0,4.266666666666667,50.45333333333334,1.9666666666666668
BJ Daniels,8.0,50.0,3.5,58.33,1.0
Ben Roethlisberger,14.333333333333334,65.2,7.7,95.91833333333334,2.1
Blaine Gabbert,5.5,54.26666666666667,6.066666666666666,73.30833333333334,4.25
Blake Bortles,15.5,59.150000000000006,6.6499999999999995,80.29750000000001,6.324999999999999
Brady Quinn,10.0,56.9,5.8,60.06,3.5
Brandon Weeden,8.5,59.5,6.949999999999999,81.3475,2.625
Brett Hundley,7.5,40.4,3.75,35.3,3.4
Brian Hoyer,7.833333333333333,59.56666666666667,6.766666666666668,81.48,2.1666666666666665
Brock Osweiler,7.0,55.900000000000006,5.566666666666666,76.98333333333333,1.9166666666666667
Bruce Gradkowski,1.5,22.75,2.95,32.29,-0.75
Bryce Petty,5.0,52.75,5.5,57.535,5.85
Byron Leftwich,2.0,47.2,5.1,54.91,31.0
CJ Beathard,7.0,54.9,6.4,69.23,5.2
Cam Newton,15.5,58.28333333333333,7.250000000000001,85.495,5.083333333333333
Cardale Jones,1.0,54.5,8.7,46.02,-1.0
Carson Palmer,12.5,62.23333333333333,7.516666666666666,90.16000000000001,1.6333333333333335
Carson Wentz,14.5,61.3,6.85,90.555,4.0
Case Keenum,8.2,60.379999999999995,6.68,82.536,3.12
Chad Henne,6.2,33.660000000000004,3.9,53.798,1.9
Charlie Batch,2.0,64.3,6.8,64.88,0.0
Charlie Whitehurst,3.75,41.275,4.875,54.107499999999995,1.175
Chase Daniel,4.666666666666667,70.48333333333333,6.683333333333334,76.87166666666667,1.8666666666666665
Chris Simms,3.0,51.6,5.0,63.37,7.4
Christian Ponder,9.0,58.56666666666666,6.0,68.31666666666666,4.2
Cody Kessler,6.0,56.699999999999996,6.3,69.45,0.30000000000000004
Colin Kaepernick,13.2,59.86,7.279999999999999,89.044,6.18
Colt McCoy,3.0,57.52,7.5,86.84200000000001,1.18
Connor Cook,1.0,66.7,7.1,83.43,0.0
Connor Shaw,1.0,50.0,6.3,55.21,1.3
Cooper Rush,2.0,33.3,0.7,42.36,6.5
Curtis Painter,3.0,50.0,3.6,19.01,-0.7
Dak Prescott,16.0,65.35,7.4,95.775,5.6
Dan Orlovsky,2.0,37.36666666666667,4.1000000000000005,48.94333333333333,0.0
David Carr,2.0,66.7,6.3,84.03,-1.0
David Fales,1.5,53.7,5.300000000000001,67.89,1.0
Derek Anderson,4.166666666666667,54.43333333333334,6.383333333333334,68.96,0.9500000000000001
Derek Carr,15.5,61.400000000000006,6.575,87.6925,2.9250000000000003
Deshaun Watson,7.0,61.8,8.3,102.96,7.5
Deshone Kizer,15.0,53.6,6.1,60.5,5.4
Dominique Davis,1.0,71.4,4.9,81.85,0.0
Drew Brees,15.833333333333334,68.51666666666667,7.783333333333334,100.76499999999999,1.0333333333333334
Drew Stanton,6.5,47.375,5.275,52.355000000000004,0.325
EJ Manuel,6.0,55.36,6.14,73.426,4.16
Eli Manning,15.833333333333334,61.28333333333334,6.933333333333334,84.77999999999999,1.8666666666666665
Geno Smith,7.0,59.04,7.0,79.52799999999999,6.720000000000001
Graham Harrell,4.0,50.0,5.0,64.58,-0.8
Greg McElroy,2.0,61.3,6.9,79.23,3.8
Jacoby Brissett,9.5,60.3,6.949999999999999,82.785,4.65
Jake Locker,8.333333333333334,58.666666666666664,6.866666666666667,77.19666666666666,6.7
Jake Rudock,2.0,60.0,4.8,32.5,0.0
Jameis Winston,15.0,60.96666666666666,7.566666666666667,87.50333333333333,3.733333333333333
Jared Goff,11.0,58.35,6.65,82.065,1.9
Jason Campbell,6.333333333333333,59.13333333333333,5.166666666666667,72.08333333333333,4.2
Jason Vander Laan,4.0,0.0,0.0,0.0,0.0
Jay Cutler,12.5,62.25,7.116666666666667,85.05166666666666,4.583333333333333
Jeff Tuel,2.0,44.1,5.2,45.09,5.7
Jimmy Clausen,4.0,55.900000000000006,5.25,69.255,3.15
Jimmy Garoppolo,5.75,57.775,6.25,87.5625,0.3
Joe Callahan,1.0,71.4,1.6,74.11,0.0
Joe Flacco,15.0,62.35,6.616666666666667,83.14,2.3666666666666667
Joe Webb,11.666666666666666,4.766666666666667,0.8333333333333334,1.3883333333333334,0.7999999999999999
John Skelton,7.0,54.2,5.6,55.4,1.2
Johnny Manziel,7.0,54.599999999999994,5.85,60.7,4.7
Jordan Palmer,1.0,33.3,2.3,42.36,-1.0
Josh Freeman,7.0,50.43333333333333,5.933333333333334,66.68666666666667,3.533333333333333
Josh Johnson,1.5,0.0,0.0,0.0,1.45
Josh McCown,9.2,61.660000000000004,7.239999999999999,87.906,4.339999999999999
Kellen Clemens,6.0,47.26666666666667,6.366666666666667,66.365,0.4666666666666666
Kellen Moore,3.0,58.7,7.5,70.95,-0.5
Kevin Hogan,4.0,57.55,5.45,51.745000000000005,10.1
Kevin Kolb,6.0,59.6,6.4,86.08,6.2
Kirk Cousins,10.333333333333334,64.0,7.833333333333333,89.83666666666666,3.6666666666666665
Kyle Orton,5.333333333333333,72.96666666666665,7.833333333333333,103.38333333333333,2.966666666666667
Kyle Sloter,1.0,0.0,0.0,0.0,0.0
Landry Jones,6.0,67.3,8.1,87.62,-0.9666666666666667
Luke McCown,10.25,20.525,2.15,32.8375,-0.7
Marcus Mariota,14.0,61.800000000000004,7.433333333333333,88.79333333333334,6.133333333333333
Mark Sanchez,7.5,59.699999999999996,6.55,66.5475,1.7750000000000001
Matt Barkley,3.6666666666666665,40.300000000000004,4.533333333333333,50.81666666666666,-0.2333333333333333
Matt Cassel,6.166666666666667,58.76666666666667,5.8999999999999995,68.59500000000001,2.8833333333333333
Matt Flynn,5.666666666666667,55.86666666666667,6.233333333333333,66.81,0.3333333333333333
Matt Hasselbeck,5.75,62.449999999999996,7.6,82.16,0.35
Matt Leinart,2.0,48.5,3.5,44.38,0.0
Matt McGloin,3.25,61.075,5.45,71.435,0.75
Matt Moore,3.0,60.96666666666666,8.333333333333334,81.54,-0.04999999999999997
Matt Ryan,16.0,67.16666666666666,7.766666666666668,96.68166666666666,3.6333333333333333
Matt Schaub,8.6,54.760000000000005,6.340000000000001,63.938,1.18
Matt Simms,1.0,37.5,4.9,53.65,2.0
Matthew Stafford,16.0,62.800000000000004,7.266666666666666,89.88333333333333,3.4166666666666665
Michael Vick,8.0,56.55,6.475,78.1675,6.2
Mike Glennon,6.25,68.575,6.525,92.3625,1.8250000000000002
Mitch Trubisky,12.0,59.4,6.6,77.5,6.0
Nate Sudfeld,1.0,82.6,5.8,90.94,22.0
Nathan Peterman,4.0,49.0,5.1,38.35,3.3
Nick Foles,8.166666666666666,60.5,6.883333333333333,89.02666666666666,2.0666666666666664
Patrick Mahomes,1.0,62.9,8.1,76.37,1.4
Paxton Lynch,2.5,62.85,6.3,75.615,4.15
Peyton Manning,14.5,65.725,7.750000000000001,97.5975,-0.675
Philip Rivers,16.0,64.86666666666666,7.533333333333332,94.26166666666667,1.8
Robert Griffin III,10.5,63.39999999999999,7.25,85.985,5.800000000000001
Russell Wilson,16.0,64.06666666666666,7.833333333333335,99.03833333333334,5.533333333333334
Rusty Smith,1.0,60.0,6.8,80.42,0.0
Ryan Fitzpatrick,12.5,60.133333333333326,7.016666666666667,84.03166666666668,4.433333333333333
Ryan Lindley,3.3333333333333335,53.46666666666667,5.3999999999999995,71.04333333333334,0.6
Ryan Mallett,4.2,48.32000000000001,4.5600000000000005,53.224000000000004,-0.08000000000000003
Ryan Nassib,2.5,90.0,12.8,137.5,-0.75
Ryan Tannehill,15.4,62.82000000000001,7.06,86.558,4.9
Sam Bradford,10.8,66.23999999999998,7.2,96.71,1.6199999999999999
Scott Tolzien,2.5,68.325,6.225,62.14750000000001,2.875
Sean Mannion,2.3333333333333335,65.06666666666666,4.2,58.31666666666666,-0.39999999999999997
Sean Renfree,2.0,42.9,1.6,10.71,-4.0
Seneca Wallace,2.0,66.7,5.8,64.41,0.0
Shaun Hill,3.4,44.61999999999999,5.88,71.494,-0.24000000000000005
Stephen Morris,1.0,0.0,0.0,0.0,0.0
TJ Yates,3.2,56.15999999999999,7.359999999999999,55.45200000000001,1.94
Tarvaris Jackson,3.0,81.2,5.933333333333334,100.90666666666665,-0.26666666666666666
Taylor Heinicke,1.0,100.0,10.0,108.33,2.0
Taysom Hill,5.0,0.0,0.0,0.0,0.0
Teddy Bridgewater,10.0,43.23333333333333,4.833333333333333,57.96333333333333,2.6
Thaddeus Lewis,3.5,64.0,6.7,82.145,2.6
Tim Tebow,12.0,75.0,4.9,84.9,3.2
Tom Brady,15.333333333333334,64.3,7.533333333333332,100.06833333333334,1.4166666666666667
Tom Savage,4.333333333333333,57.23333333333333,6.433333333333334,68.07,0.5
Tony Romo,10.2,68.6,7.5600000000000005,102.824,1.8
Trent Edwards,1.0,100.0,7.0,95.83,0.0
Trevone Boykin,5.0,72.2,8.1,91.2,0.1
Trevor Siemian,8.666666666666666,39.5,4.5,52.623333333333335,1.7
Tyler Bray,1.0,0.0,0.0,39.58,0.0
Tyrod Taylor,9.166666666666666,44.45000000000001,4.7,56.75,4.8500000000000005
Zach Mettenberger,7.0,60.3,6.75,75.045,0.8500000000000001
